51192,,6.4,Medium,203.104.71.3,tcp,8443,SSL Certificate Cannot Be Trusted,The SSL certificate for this service cannot be trusted.,"The server's X.509 certificate cannot be trusted. This situation can
occur in three different ways, in which the chain of trust can be
broken, as stated below :

  - First, the top of the certificate chain sent by the
    server might not be descended from a known public
    certificate authority. This can occur either when the
    top of the chain is an unrecognized, self-signed
    certificate, or when intermediate certificates are
    missing that would connect the top of the certificate
    chain to a known public certificate authority.

  - Second, the certificate chain may contain a certificate
    that is not valid at the time of the scan. This can
    occur either when the scan occurs before one of the
    certificate's 'notBefore' dates, or after one of the
    certificate's 'notAfter' dates.

  - Third, the certificate chain may contain a signature
    that either didn't match the certificate's information
    or could not be verified. Bad signatures can be fixed by
    getting the certificate with the bad signature to be
    re-signed by its issuer. Signatures that could not be
    verified are the result of the certificate's issuer
    using a signing algorithm that Nessus either does not
    support or does not recognize.

If the remote host is a public host in production, any break in the
chain makes it more difficult for users to verify the authenticity and 
identity of the web server. This could make it easier to carry out 
man-in-the-middle attacks against the remote host.",Purchase or generate a proper SSL certificate for this service.,"https://www.itu.int/rec/T-REC-X.509/en
https://en.wikipedia.org/wiki/X.509","
The following certificate was at the top of the certificate
chain sent by the remote host, but it is signed by an unknown
certificate authority :

|-Subject : CN=ASA Temporary Self Signed Certificate
|-Issuer  : CN=ASA Temporary Self Signed Certificate
",,,,6.5,,,,,Medium,,,,15-12-2010,27-04-2020,,,
57582,,6.4,Medium,203.104.71.3,tcp,8443,SSL Self-Signed Certificate,"The SSL certificate chain for this service ends in an unrecognized
self-signed certificate.","The X.509 certificate chain for this service is not signed by a
recognized certificate authority.  If the remote host is a public host
in production, this nullifies the use of SSL as anyone could establish
a man-in-the-middle attack against the remote host. 

Note that this plugin does not check for certificate chains that end
in a certificate that is not self-signed, but is signed by an
unrecognized certificate authority.",Purchase or generate a proper SSL certificate for this service.,,"
The following certificate was found at the top of the certificate
chain sent by the remote host, but is self-signed and was not
found in the list of known certificate authorities :

|-Subject : CN=ASA Temporary Self Signed Certificate
",,,,6.5,,,,,Medium,,,,17-01-2012,14-06-2022,,,
51192,,6.4,Medium,203.104.71.67,tcp,8443,SSL Certificate Cannot Be Trusted,The SSL certificate for this service cannot be trusted.,"The server's X.509 certificate cannot be trusted. This situation can
occur in three different ways, in which the chain of trust can be
broken, as stated below :

  - First, the top of the certificate chain sent by the
    server might not be descended from a known public
    certificate authority. This can occur either when the
    top of the chain is an unrecognized, self-signed
    certificate, or when intermediate certificates are
    missing that would connect the top of the certificate
    chain to a known public certificate authority.

  - Second, the certificate chain may contain a certificate
    that is not valid at the time of the scan. This can
    occur either when the scan occurs before one of the
    certificate's 'notBefore' dates, or after one of the
    certificate's 'notAfter' dates.

  - Third, the certificate chain may contain a signature
    that either didn't match the certificate's information
    or could not be verified. Bad signatures can be fixed by
    getting the certificate with the bad signature to be
    re-signed by its issuer. Signatures that could not be
    verified are the result of the certificate's issuer
    using a signing algorithm that Nessus either does not
    support or does not recognize.

If the remote host is a public host in production, any break in the
chain makes it more difficult for users to verify the authenticity and 
identity of the web server. This could make it easier to carry out 
man-in-the-middle attacks against the remote host.",Purchase or generate a proper SSL certificate for this service.,"https://www.itu.int/rec/T-REC-X.509/en
https://en.wikipedia.org/wiki/X.509","
The following certificate was at the top of the certificate
chain sent by the remote host, but it is signed by an unknown
certificate authority :

|-Subject : CN=ASA Temporary Self Signed Certificate
|-Issuer  : CN=ASA Temporary Self Signed Certificate
",,,,6.5,,,,,Medium,,,,15-12-2010,27-04-2020,,,
57582,,6.4,Medium,203.104.71.67,tcp,8443,SSL Self-Signed Certificate,"The SSL certificate chain for this service ends in an unrecognized
self-signed certificate.","The X.509 certificate chain for this service is not signed by a
recognized certificate authority.  If the remote host is a public host
in production, this nullifies the use of SSL as anyone could establish
a man-in-the-middle attack against the remote host. 

Note that this plugin does not check for certificate chains that end
in a certificate that is not self-signed, but is signed by an
unrecognized certificate authority.",Purchase or generate a proper SSL certificate for this service.,,"
The following certificate was found at the top of the certificate
chain sent by the remote host, but is self-signed and was not
found in the list of known certificate authorities :

|-Subject : CN=ASA Temporary Self Signed Certificate
",,,,6.5,,,,,Medium,,,,17-01-2012,14-06-2022,,,
97861,,5,Medium,203.104.95.109,udp,123,Network Time Protocol (NTP) Mode 6 Scanner,The remote NTP server responds to mode 6 queries.,"The remote NTP server responds to mode 6 queries. Devices that respond
to these queries have the potential to be used in NTP amplification
attacks. An unauthenticated, remote attacker could potentially exploit
this, via a specially crafted mode 6 query, to cause a reflected
denial of service condition.",Restrict NTP mode 6 queries.,https://ntpscan.shadowserver.org,"
  Nessus elicited the following response from the remote
  host by sending an NTP mode 6 query :

'version=""4"", processor=""unknown"", system=""UNIX"", leap=0, stratum=3,
precision=-10, rootdelay=184.555, rootdisp=127.390,
refid=203.104.68.102, reftime=0xEB063964.BE76CAC0,
clock=0xEB065129.46666728, peer=39947, tc=10, mintc=3, offset=1.472,
frequency=-2.894, sys_jitter=0.976, clk_jitter=2.900, clk_wander=0.001'",,,,5.8,,,,,Medium,,,,21-03-2017,07-05-2018,,,
42263,,5.8,Medium,203.104.95.113,tcp,9001,Unencrypted Telnet Server,The remote Telnet server transmits traffic in cleartext.,"The remote host is running a Telnet server over an unencrypted
channel.

Using Telnet over an unencrypted channel is not recommended as logins,
passwords, and commands are transferred in cleartext. This allows a 
remote, man-in-the-middle attacker to eavesdrop on a Telnet session to
obtain credentials or other sensitive information and to modify
traffic exchanged between a client and server.

SSH is preferred over Telnet since it protects credentials from
eavesdropping and can tunnel additional data streams such as an X11
session.",Disable the Telnet service and use SSH instead.,,"
Nessus collected the following banner from the remote Telnet server :

------------------------------ snip ------------------------------


User Access Verification

Username: 
------------------------------ snip ------------------------------
",,,,6.5,,,,,Medium,,,,27-10-2009,16-01-2024,,,
97861,,5,Medium,203.104.95.113,udp,123,Network Time Protocol (NTP) Mode 6 Scanner,The remote NTP server responds to mode 6 queries.,"The remote NTP server responds to mode 6 queries. Devices that respond
to these queries have the potential to be used in NTP amplification
attacks. An unauthenticated, remote attacker could potentially exploit
this, via a specially crafted mode 6 query, to cause a reflected
denial of service condition.",Restrict NTP mode 6 queries.,https://ntpscan.shadowserver.org,"
  Nessus elicited the following response from the remote
  host by sending an NTP mode 6 query :

'version=""4"", processor=""unknown"", system=""UNIX"", leap=0, stratum=3,
precision=-10, rootdelay=345.494, rootdisp=52.697, refid=203.104.68.102,
reftime=0xEB064839.DF7CEFF8, clock=0xEB064A26.21CAC0E0, peer=21333,
tc=10, mintc=3, offset=2.903, frequency=6.698, sys_jitter=0.976,
clk_jitter=1.077, clk_wander=0.000'",,,,5.8,,,,,Medium,,,,21-03-2017,07-05-2018,,,
97861,,5,Medium,203.104.95.114,udp,123,Network Time Protocol (NTP) Mode 6 Scanner,The remote NTP server responds to mode 6 queries.,"The remote NTP server responds to mode 6 queries. Devices that respond
to these queries have the potential to be used in NTP amplification
attacks. An unauthenticated, remote attacker could potentially exploit
this, via a specially crafted mode 6 query, to cause a reflected
denial of service condition.",Restrict NTP mode 6 queries.,https://ntpscan.shadowserver.org,"
  Nessus elicited the following response from the remote
  host by sending an NTP mode 6 query :

'version=""4"", processor=""unknown"", system=""UNIX"", leap=0, stratum=3,
precision=-10, rootdelay=198.487, rootdisp=54.161, refid=203.104.68.102,
reftime=0xEB064762.0872B038, clock=0xEB064A14.A2D0E720, peer=49496,
tc=10, mintc=3, offset=-4.620, frequency=11.459, sys_jitter=0.976,
clk_jitter=1.179, clk_wander=0.001'",,,,5.8,,,,,Medium,,,,21-03-2017,07-05-2018,,,
42873,CVE-2016-2183,5,High,10.15.129.10,tcp,443,SSL Medium Strength Cipher Suites Supported (SWEET32),The remote service supports the use of medium strength SSL ciphers.,"The remote host supports the use of SSL ciphers that offer medium
strength encryption. Nessus regards medium strength as any encryption
that uses key lengths at least 64 bits and less than 112 bits, or 
else that uses the 3DES encryption suite.

Note that it is considerably easier to circumvent medium strength
encryption if the attacker is on the same physical network.","Reconfigure the affected application if possible to avoid use of
medium strength ciphers.","https://www.openssl.org/blog/blog/2016/08/24/sweet32/
https://sweet32.info","
  Medium Strength Ciphers (> 64-bit and < 112-bit key, or 3DES)

    Name                          Code             KEX           Auth     Encryption             MAC
    ----------------------        ----------       ---           ----     ---------------------  ---
    DES-CBC3-SHA                  0x00, 0x0A       RSA           RSA      3DES-CBC(168)          SHA1

The fields above are :

  {Tenable ciphername}
  {Cipher ID code}
  Kex={key exchange}
  Auth={authentication}
  Encrypt={symmetric encryption method}
  MAC={message authentication code}
  {export flag}
",,,,7.5,,,5.1,0.0053,Medium,,,,23-11-2009,03-02-2021,,,
42873,CVE-2016-2183,5,High,10.15.129.10,tcp,3389,SSL Medium Strength Cipher Suites Supported (SWEET32),The remote service supports the use of medium strength SSL ciphers.,"The remote host supports the use of SSL ciphers that offer medium
strength encryption. Nessus regards medium strength as any encryption
that uses key lengths at least 64 bits and less than 112 bits, or 
else that uses the 3DES encryption suite.

Note that it is considerably easier to circumvent medium strength
encryption if the attacker is on the same physical network.","Reconfigure the affected application if possible to avoid use of
medium strength ciphers.","https://www.openssl.org/blog/blog/2016/08/24/sweet32/
https://sweet32.info","
  Medium Strength Ciphers (> 64-bit and < 112-bit key, or 3DES)

    Name                          Code             KEX           Auth     Encryption             MAC
    ----------------------        ----------       ---           ----     ---------------------  ---
    DES-CBC3-SHA                  0x00, 0x0A       RSA           RSA      3DES-CBC(168)          SHA1

The fields above are :

  {Tenable ciphername}
  {Cipher ID code}
  Kex={key exchange}
  Auth={authentication}
  Encrypt={symmetric encryption method}
  MAC={message authentication code}
  {export flag}
",,,,7.5,,,5.1,0.0053,Medium,,,,23-11-2009,03-02-2021,,,
